p2,score
A1BG,13.747747747747747
A1CF,29.199199199199196
A26B3,28.991991991991984
A2M,46.985985985985984
A2ML1,15.329329329329326
A3GALT2,7.508508508508508
A4GALT,17.714714714714713
A4GNT,8.653653653653652
AAAS,22.583583583583582
AACS,24.795795795795794
AADAC,18.612612612612608
AADACL2,9.624624624624623
AADACL3,7.619619619619619
AADACL4,8.567567567567567
AADAT,18.271271271271267
AAED1,8.967967967967967
AAGAB,8.941941941941941
AAK1,44.29729729729729
AAMDC,12.675675675675674
AAMP,19.36136136136136
AANAT,16.864864864864863
AAR2,29.194194194194193
AARD,1.9039039039039038
AARS,53.521521521521514
AARS2,46.321321321321314
AARSD1,7.9589589589589576
AASDH,45.941941941941934
AASDHPPT,19.527527527527525
AASS,18.543543543543542
AATF,49.386386386386384
AATK,12.081081081081079
ABAT,31.202202202202198
ABCA1,50.709709709709706
ABCA10,12.08208208208208
ABCA12,19.916916916916914
ABCA13,20.249249249249246
ABCA2,23.132132132132128
ABCA3,27.472472472472468
ABCA4,26.856856856856854
ABCA5,15.814814814814811
ABCA6,14.693693693693692
ABCA7,17.304304304304303
ABCA8,14.025025025025023
ABCA9,12.136136136136134
ABCB1,46.23523523523523
ABCB10,19.23323323323323
ABCB11,26.757757757757755
ABCB4,23.14414414414414
ABCB5,15.824824824824823
ABCB6,32.905905905905904
ABCB7,35.05305305305305
ABCB8,15.988988988988988
ABCB9,14.918918918918916
ABCC1,26.49349349349349
ABCC10,9.488488488488487
ABCC11,10.434434434434433
ABCC12,13.111111111111109
ABCC2,29.725725725725724
ABCC3,21.413413413413412
ABCC4,23.701701701701698
ABCC5,18.346346346346344
ABCC6,18.545545545545544
ABCC8,46.64064064064063
ABCC9,28.63563563563563
ABCD1,20.459459459459456
ABCD2,19.324324324324323
ABCD3,20.622622622622618
ABCD4,20.419419419419416
ABCE1,77.62162162162161
ABCF1,43.73273273273273
ABCF2,46.73973973973973
ABCF3,46.93793793793793
ABCG1,31.281281281281277
ABCG2,48.75275275275275
ABCG4,35.883883883883875
ABCG5,30.38338338338338
ABCG8,30.518518518518515
ABHD1,10.499499499499498
ABHD10,23.032032032032028
ABHD11,20.399399399399396
ABHD12,24.04304304304304
ABHD12B,16.015015015015013
ABHD13,8.835835835835836
ABHD14A,10.247247247247245
ABHD14A-ACY1,13.28328328328328
ABHD14B,18.910910910910907
